ID,EN,FR,DE
8332,yugozapaden (bulgaria)  [v4.3],yugozapaden (bulgarie)  [v4.3],yugozapaden (bulgarien)  [v4.3]
8333,blagoevgrad region  [v4.3],region de blagoevgrad  [v4.3],region blagoevgrad  [v4.3]
8334,kyustendil region  [v4.3],region de kiustendil  [v4.3],region kyustendil  [v4.3]
8335,pernik region  [v4.3],region de pernik  [v4.3],region pernik  [v4.3]
8336,sofia district region  [v4.3],region du district de sofia  [v4.3],region sofia-bezirk  [v4.3]
8337,sofia city region  [v4.3],region de la ville de sofia  [v4.3],region sofia stadt  [v4.3]
8354,kaliningrad question  [v4.3],question de kaliningrad  [v4.3],kaliningrad-frage  [v4.3]
8355,chechen question  [v4.3],question de la tchetchenie  [v4.3],tschetschenien-frage  [v4.3]
8356,kashmir question  [v4.3],question du cachemire  [v4.3],kaschmir-frage  [v4.3]
8357,kosovo question  [v4.3],question du kosovo  [v4.3],kosovo-frage  [v4.3]
8365,eac countries  [v4.3],pays de la cae  [v4.3],oag-staaten  [v4.3]
8366,countries of the pacific community  [v4.3],pays de la communaute du pacifique  [v4.3],lander der pazifischen gemeinschaft  [v4.3]
8367,saarc countries  [v4.3],pays de l'asacr  [v4.3],saarc-staaten  [v4.3]
8369,caeu countries  [v4.3],pays du cuea  [v4.3],caeu-staaten  [v4.3]
8370,council of arab economic unity  [v4.3],conseil de l'unite economique arabe  [v4.3],rat fur arabische wirtschaftliche einheit  [v4.3]
8371,british antarctic territory  [v4.3],territoire britannique de l'antarctique  [v4.3],britisches territorium in der antarktis  [v4.3]
8373,british indian ocean territory  [v4.3],territoire britannique de l'ocean indien  [v4.3],britisches territorium im indischen ozean  [v4.3]
8374,french southern and antarctic territories  [v4.3],terres australes et antarctiques francaises  [v4.3],franzosische sud- und antarktisgebiete  [v4.3]
8375,multilateral investment guarantee agency  [v4.3],agence multilaterale de garantie des investissements  [v4.3],multilaterale investitions-garantie-agentur  [v4.3]
8377,international bank for reconstruction and development  [v4.3],banque internationale pour la reconstruction et le developpement  [v4.3],internationale bank fur wiederaufbau und entwicklung  [v4.3]
8378,international centre for settlement of investment disputes  [v4.3],centre international pour le reglement des differends relatifs aux investissements  [v4.3],internationales zentrum zur beilegung von investitionsstreitigkeiten  [v4.3]
8380,un research and training institutes  [v4.3],instituts de recherche et de formation onu  [v4.3],institut fur ausbildung und forschung (vereinte nationen)  [v4.3]
8381,un institute for disarmament research  [v4.3],institut des nations unies pour la recherche sur le desarmement  [v4.3],institut der vereinten nationen fur abrustungsforschung  [v4.3]
8382,un international research and training institute for the advancement of women  [v4.3],institut international de recherche et de formation pour la promotion de la femme  [v4.3],internationales forschungs- und ausbildungsinstitut zur forderung der frau  [v4.3]
8383,un interregional crime and justice research institute  [v4.3],institut interregional de recherche des nations unies sur la criminalite et la justice  [v4.3],interregionales forschungsinstitut der vereinten nationen fur kriminalitat und rechtspflege  [v4.3]
8384,un subsidiary body  [v4.3],organe subsidiaire onu  [v4.3],nebenorgan uno  [v4.3]
8385,un high commissioner for human rights  [v4.3],haut-commissaire aux droits de l'homme  [v4.3],hoher kommissar fur menschenrechte  [v4.3]
8386,un regional commission  [v4.3],commission regionale onu  [v4.3],regionalkommission uno  [v4.3]
8387,un secretary-general  [v4.3],secretaire general de l'onu  [v4.3],generalsekretar der vereinten nationen  [v4.3]
8393,unaids  [v4.3],onusida  [v4.3],unaids  [v4.3]
8395,european centre for parliamentary research and documentation  [v4.3],centre europeen de recherche et de documentation parlementaires  [v4.3],europaisches zentrum fur parlamentarische wissenschaft und dokumentation  [v4.3]
8396,council of the baltic sea states  [v4.3],conseil des etats de la mer baltique  [v4.3],ostseerat  [v4.3]
8398,community of sahel-saharan states  [v4.3],communaute des etats sahelo-sahariens  [v4.3],gemeinschaft der sahel-sahara-staaten  [v4.3]
8399,southern african development community  [v4.3],communaute de developpement de l'afrique australe  [v4.3],entwicklungsgemeinschaft des sudlichen afrika  [v4.3]
8400,common market for eastern and southern africa  [v4.3],marche commun de l'afrique orientale et australe  [v4.3],gemeinsamer markt fur das ostliche und sudliche afrika  [v4.3]
8402,pacific islands forum  [v4.3],forum des iles du pacifique  [v4.3],sudpazifisches forum  [v4.3]
8403,southern african customs union  [v4.3],union douaniere d'afrique australe  [v4.3],sudafrikanische zollunion  [v4.3]
8404,international trade union confederation  [v4.3],confederation syndicale internationale  [v4.3],internationaler gewerkschaftsbund  [v4.3]
8407,assistant  [v4.3],assistant  [v4.3],assistent  [v4.3]
8409,euroscepticism  [v4.3],euroscepticisme  [v4.3],euroskepsis  [v4.3]
8410,mine action  [v4.3],lutte antimines  [v4.3],minenbekampfung  [v4.3]
8411,mutual assistance  [v4.3],assistance mutuelle  [v4.3],gegenseitige unterstutzung  [v4.3]
8412,biofuel  [v4.3],biocarburant  [v4.3],biokraftstoff  [v4.3]
8413,blog  [v4.3],blog  [v4.3],blog  [v4.3]
8414,official seal  [v4.3],cachet officiel  [v4.3],dienstsiegel  [v4.3]
8415,concentration camp  [v4.3],camp de concentration  [v4.3],konzentrationslager  [v4.3]
8416,conflict of interest  [v4.3],conflit d'interet  [v4.3],interessenkonflikt  [v4.3]
8417,complicity  [v4.3],complicite  [v4.3],mittaterschaft  [v4.3]
8418,public consultation  [v4.3],consultation publique  [v4.3],offentliche konsultation  [v4.3]
8419,political culture  [v4.3],culture politique  [v4.3],politische kultur  [v4.3]
8420,hit-and-run  [v4.3],delit de fuite  [v4.3],fahrerflucht  [v4.3]
8421,deliberative democracy  [v4.3],democratie deliberative  [v4.3],deliberative demokratie  [v4.3]
8422,direct democracy  [v4.3],democratie directe  [v4.3],direkte demokratie  [v4.3]
8423,participatory democracy  [v4.3],democratie participative  [v4.3],partizipative demokratie  [v4.3]
8424,representative democracy  [v4.3],democratie representative  [v4.3],reprasentative demokratie  [v4.3]
8425,commercial code  [v4.3],code de commerce  [v4.3],handelsgesetz  [v4.3]
8426,right of personal portrayal  [v4.3],droit a l'image  [v4.3],recht am eigenen bild  [v4.3]
8427,european private law  [v4.3],droit prive europeen  [v4.3],europaisches privatrecht  [v4.3]
8428,civil society  [v4.3],societe civile  [v4.3],zivilgesellschaft  [v4.3]
8429,eurogroup (euro area)  [v4.3],eurogroupe (zone euro)  [v4.3],eurogroup (euro-zone)  [v4.3]
8430,europeanisation  [v4.3],europeanisation  [v4.3],europaisierung  [v4.3]
8432,civil bankruptcy  [v4.3],faillite civile  [v4.3],zivilkonkurs  [v4.3]
8433,forgery of documents  [v4.3],faux en ecriture  [v4.3],urkundenfalschung  [v4.3]
8434,counterfeiting  [v4.3],faux monnayage  [v4.3],falschmunzerei  [v4.3]
8435,fireworks  [v4.3],feu d'artifice  [v4.3],feuerwerk  [v4.3]
8437,mountain forest  [v4.3],foret de montagne  [v4.3],bergwald  [v4.3]
8438,geodesy  [v4.3],geodesie  [v4.3],geodasie  [v4.3]
8439,frontex  [v4.3],frontex  [v4.3],frontex  [v4.3]
8441,asymmetric warfare  [v4.3],guerre asymetrique  [v4.3],asymetrischer krieg  [v4.3]
8442,national identity  [v4.3],identite nationale  [v4.3],nationale identitat  [v4.3]
8443,restorative justice  [v4.3],justice reparatrice  [v4.3],opferorientierte justiz  [v4.3]
8444,wolf  [v4.3],loup  [v4.3],wolf  [v4.3]
8445,bear  [v4.3],ours  [v4.3],bar  [v4.3]
8446,lynx  [v4.3],lynx  [v4.3],luchs  [v4.3]
8447,eye disease  [v4.3],maladie oculaire  [v4.3],augenkrankheit  [v4.3]
8448,forced marriage  [v4.3],mariage force  [v4.3],zwangsheirat  [v4.3]
8449,criminal negligence  [v4.3],negligence criminelle  [v4.3],kriminelle fahrlassigkeit  [v4.3]
8450,business park  [v4.3],parc d'activites economiques  [v4.3],gewerbegebiet  [v4.3]
8451,national city park  [v4.3],parc national urbain  [v4.3],stadtischer nationalpark  [v4.3]
8452,bridge  [v4.3],pont  [v4.3],bruckenbauwerk  [v4.3]
8453,digital evidence  [v4.3],preuve informatique  [v4.3],digitaler beweis  [v4.3]
8454,framework programme for research and development  [v4.3],programme-cadre de recherche et developpement  [v4.3],rahmenprogramm fur forschung und entwicklung  [v4.3]
8455,witness protection  [v4.3],protection des temoins  [v4.3],zeugenschutz  [v4.3]
8456,succession of states  [v4.3],succession d'etats  [v4.3],staatensukzession  [v4.3]
8457,recognition of a state  [v4.3],reconnaissance d'etat  [v4.3],anerkennung als staat  [v4.3]
8458,challenge  [v4.3],recusation  [v4.3],ablehnung  [v4.3]
8459,single payment scheme  [v4.3],regime de paiement unique  [v4.3],betriebspramienregelung  [v4.3]
8460,reimbursement of aid  [v4.3],remboursement des aides  [v4.3],erstattung der beihilfen  [v4.3]
8461,river tourism  [v4.3],tourisme fluvial  [v4.3],flusstourismus  [v4.3]
8462,european union civil service tribunal  [v4.3],tribunal de la fonction publique de l'union europeenne  [v4.3],gericht fur den offentlichen dienst der europaischen union  [v4.3]
8463,low cost airline  [v4.3],compagnie aerienne a bas prix  [v4.3],billigfluggesellschaft  [v4.3]
8464,avian influenza  [v4.3],grippe aviaire  [v4.3],vogelgrippe  [v4.3]
8465,appointment of members  [v4.3],nomination des membres  [v4.3],ernennung der mitglieder  [v4.3]
8466,public policy  [v4.3],politique publique  [v4.3],offentliche politik  [v4.3]
8468,principle of legal certainty  [v4.3],principe de securite juridique  [v4.3],grundsatz der rechtssicherheit  [v4.3]
8469,financial services  [v4.3],services financiers  [v4.3],finanzdienstleistungen  [v4.3]
8470,digital archiving  [v4.3],archivage numerique  [v4.3],digitale archivierung  [v4.3]
8471,ecological tourism  [v4.3],tourisme ecologique  [v4.3],okotourismus  [v4.3]
8472,equitable tourism  [v4.3],tourisme equitable  [v4.3],fairer tourismus  [v4.3]
8473,intergovernmental legal instrument  [v4.3],instrument juridique intergouvernemental  [v4.3],zwischenstaatliches rechtsinstrument  [v4.3]
8474,common strategy  [v4.3],strategie commune  [v4.3],gemeinsame strategie  [v4.3]
8475,eu military committee  [v4.3],comite militaire de l'ue  [v4.3],eu-militarausschuss  [v4.3]
8476,eu-nato cooperation  [v4.3],cooperation ue-otan  [v4.3],zusammenarbeit eu-nato  [v4.3]
8477,eu military staff  [v4.3],etat-major de l'ue  [v4.3],militarstab der eu  [v4.3]
8478,political and security committee  [v4.3],comite politique et de securite  [v4.3],politisches und sicherheitspolitisches komitee  [v4.3]
8479,community method  [v4.3],methode communautaire  [v4.3],gemeinschaftsmethode  [v4.3]
8480,judicial cooperation in civil matters in the eu  [v4.3],cooperation judiciaire civile ue  [v4.3],justizielle zusammenarbeit der eu in zivilsachen  [v4.3]
8481,eu police mission  [v4.3],mission de police de l'ue  [v4.3],polizeimission der eu  [v4.3]
8482,eu military mission  [v4.3],mission militaire de l'ue  [v4.3],militarmission der eu  [v4.3]
8488,european barge union  [v4.3],union europeenne de la navigation fluviale  [v4.3],europaische binnenschifffahrts-union  [v4.3]
8489,cor opinion  [v4.3],avis cdr  [v4.3],stellungnahme adr  [v4.3]
8490,bucharest -- ilfov  [v4.3],bucarest -- ilfov  [v4.3],bukarest -- ilfov  [v4.3]
8491,centru (romania)  [v4.3],roumanie du centre  [v4.3],centru (rumanien)  [v4.3]
8492,nord-est (romania)  [v4.3],roumanie du nord-est  [v4.3],nord-est (rumanien)  [v4.3]
8493,nord-vest (romania)  [v4.3],roumanie du nord-ouest  [v4.3],nord-vest (rumanien)  [v4.3]
8494,vest (romania)  [v4.3],roumanie de l'ouest  [v4.3],vest (rumanien)  [v4.3]
8495,sud -- muntenia (romania)  [v4.3],roumanie du sud -- muntenia  [v4.3],sud muntenia (rumanien)  [v4.3]
8496,sud-est (romania)  [v4.3],roumanie du sud-est  [v4.3],sud-est (rumanien)  [v4.3]
8497,sud-vest oltenia (romania)  [v4.3],roumanie du sud-ouest oltenia  [v4.3],sud-vest oltenia (rumanien)  [v4.3]
8498,london  [v4.3],londres  [v4.3],london  [v4.3]
8499,alba  [v4.3],alba  [v4.3],alba  [v4.3]
8500,brasov  [v4.3],brasov  [v4.3],brasov  [v4.3]
